max_mxHxm,E,delta_E,bracket_count,line_min_count,conjugate_cycle_count,cycle_count,cycle_sub_count,energy_calc_count,E_exchange,max_spin_ang_exchange,stage_max_spin_ang_exchange,run_max_spin_ang_exchange,E_demag,E_dmi,iteration,stage_iteration,stage,mx,my,mz,length,width,q,q_abs,bp_number,bp_number_hh,bp_number_tt,initpattern,fname,E_density,expected_bp_number,eq_spacing,mesh_n_x,mesh_n_y,mesh_n_z,hbottom,htop,y_centred,expected_config,pbc_x,bp_arrangement,finalpattern,n_typechanges
0.0905108227516,-2.55920239526e-17,0.0,263.0,249.0,5.0,256.0,251.0,513.0,3.00320518023e-17,97.3228838898,127.267774178,127.267774178,1.4815079099300001e-18,-5.71055836648e-17,508.0,508.0,0.0,1.79919486737e-08,-1.30258752707e-08,-0.0394999956222,125,100,0.9969829520965314,1.0510766714312887,1.0,0.0,1.0,o,run_selected_small/mbp_l_125_w_100_ht_10_o/mbp_l_125_w_100_ht_10_o_fixedfree.csv,-68245.39720693331,1,,50.0,40.0,12,20,10,,True,False,"[[-0.0, 25], [1.0, 25]]",o,0
0.0905108227516,-2.55920239526e-17,0.0,263.0,249.0,5.0,256.0,251.0,513.0,3.00320518023e-17,97.3228838898,127.267774178,127.267774178,1.4815079099300001e-18,-5.71055836648e-17,508.0,508.0,0.0,-1.79919486737e-08,1.30258752707e-08,0.0394999956222,125,100,-0.9969829520965314,1.0510766714312887,1.0,1.0,0.0,i,run_selected_small/mbp_l_125_w_100_ht_10_i/mbp_l_125_w_100_ht_10_i_fixedfree.csv,-68245.39720693331,1,,50.0,40.0,12,20,10,,True,False,"[[0.0, 25], [-1.0, 25]]",i,0
0.0983764146626,-2.55920239526e-17,6.162975822039999e-33,290.0,262.0,11.0,272.0,255.0,553.0,3.00320517029e-17,97.322895408,129.682906635,129.682906635,1.481507923e-18,-5.71055835785e-17,541.0,541.0,0.0,3.8600645404e-09,1.31878841414e-08,0.0394999940467,125,100,-0.9969829525798936,1.051076670893424,1.0,1.0,0.0,iii,run_selected_small/mbp_l_125_w_100_ht_10_iii/mbp_l_125_w_100_ht_10_iii_fixedfree.csv,-68245.39720693331,3,,50.0,40.0,12,20,10,,False,False,"[[0.0, 25], [-1.0, 25]]",i,0
0.0874954326906,-2.55889902329e-17,6.162975822039999e-33,539.0,440.0,42.0,497.0,288.0,980.0,3.00360095343e-17,108.823650871,148.80564951,148.80564951,1.4828449936600001e-18,-5.71078447609e-17,945.0,945.0,0.0,-0.00135836517969,-0.0154657892296,0.0395074878291,125,100,-0.9969810445242638,1.050958029030175,1.0,1.0,0.0,ii,run_selected_small/mbp_l_125_w_100_ht_10_ii/mbp_l_125_w_100_ht_10_ii_fixedfree.csv,-68237.30728773332,2,,50.0,40.0,12,20,10,,False,False,"[[0.0, 25], [-1.0, 25]]",i,0
0.0981465654233,-2.29520650755e-17,-6.162975822039999e-33,703.0,636.0,19.0,676.0,547.0,1340.0,3.32623962937e-17,100.792164923,178.399452208,178.399452208,2.9909604224800002e-18,-5.92054217916e-17,1318.0,1318.0,0.0,-0.447227122129,-0.0496609532017,0.00346527022145,125,100,0.9842275108080386,1.0671948448387776,1.0,0.0,1.0,ioi,run_selected_small/mbp_l_125_w_100_ht_10_ioi/mbp_l_125_w_100_ht_10_ioi_fixedfree.csv,-61205.50686799999,3,,50.0,40.0,12,20,10,,False,False,"[[-0.0, 34], [1.0, 16]]",o,2
0.0874954326906,-2.55889902329e-17,6.162975822039999e-33,539.0,440.0,42.0,497.0,288.0,980.0,3.00360095343e-17,108.823650871,148.80564951,148.80564951,1.4828449936600001e-18,-5.71078447609e-17,945.0,945.0,0.0,0.00135836517969,0.0154657892296,-0.0395074878291,125,100,0.9969810445242638,1.050958029030175,1.0,0.0,1.0,oo,run_selected_small/mbp_l_125_w_100_ht_10_oo/mbp_l_125_w_100_ht_10_oo_fixedfree.csv,-68237.30728773332,2,,50.0,40.0,12,20,10,,False,False,"[[-0.0, 25], [1.0, 25]]",o,0
0.0993330587172,-2.27962397412e-17,-6.162975822039999e-33,807.0,787.0,6.0,798.0,664.0,1595.0,3.6016740241600004e-17,109.347680402,122.470387284,122.470387284,2.38037291724e-18,-6.11933529e-17,1589.0,1589.0,0.0,-0.0211193402037,-0.0875747443795,5.85721945947e-09,125,100,2.176055080363393e-09,2.0839848671693315,2.0,1.0,1.0,oi,run_selected_small/mbp_l_125_w_100_ht_10_oi/mbp_l_125_w_100_ht_10_oi_fixedfree.csv,-60789.97264319999,2,,50.0,40.0,12,20,10,,True,False,"[[0.0, 11], [1.0, 27], [0.0, 12]]",oi,1
0.0993330587172,-2.27962397412e-17,-6.162975822039999e-33,807.0,787.0,6.0,798.0,664.0,1595.0,3.6016740241600004e-17,109.347680402,122.470387284,122.470387284,2.38037291724e-18,-6.11933529e-17,1589.0,1589.0,0.0,0.0211193402037,0.0875747443795,-5.85721945947e-09,125,100,-2.176055080363393e-09,2.0839848671693315,2.0,1.0,1.0,io,run_selected_small/mbp_l_125_w_100_ht_10_io/mbp_l_125_w_100_ht_10_io_fixedfree.csv,-60789.97264319999,2,,50.0,40.0,12,20,10,,True,False,"[[-0.0, 11], [-1.0, 27], [-0.0, 12]]",io,1
0.0994365764183,-3.04687817144e-17,6.162975822039999e-33,421.0,328.0,47.0,382.0,270.0,750.0,3.54306084652e-17,103.785837009,145.974411803,145.974411803,1.79486298193e-18,-6.76942531616e-17,721.0,721.0,0.0,0.0010713718237,0.0137510458431,0.0383114391827,150,100,-0.9969075995901188,1.0530524877450245,1.0,1.0,0.0,iii,run_selected_small/mbp_l_150_w_100_ht_10_iii/mbp_l_150_w_100_ht_10_iii_fixedfree.csv,-67708.40380977778,3,,60.0,40.0,12,20,10,,False,False,"[[0.0, 29], [-1.0, 31]]",i,0
0.0994365764183,-3.04687817144e-17,6.162975822039999e-33,421.0,328.0,47.0,382.0,270.0,750.0,3.54306084652e-17,103.785837009,145.974411803,145.974411803,1.79486298193e-18,-6.76942531616e-17,721.0,721.0,0.0,-0.0010713718237,-0.0137510458431,-0.0383114391827,150,100,0.9969075995901188,1.0530524877450245,1.0,0.0,1.0,ooo,run_selected_small/mbp_l_150_w_100_ht_10_ooo/mbp_l_150_w_100_ht_10_ooo_fixedfree.csv,-67708.40380977778,3,,60.0,40.0,12,20,10,,False,False,"[[-0.0, 29], [1.0, 31]]",o,0
