max_mxHxm,E,delta_E,bracket_count,line_min_count,conjugate_cycle_count,cycle_count,cycle_sub_count,energy_calc_count,E_exchange,max_spin_ang_exchange,stage_max_spin_ang_exchange,run_max_spin_ang_exchange,E_demag,E_dmi,iteration,stage_iteration,stage,mx,my,mz,length,width,htop,hbottom,mesh_n_x,mesh_n_y,mesh_n_z,q,q_abs,bp_number,bp_number_hh,bp_number_tt,bp_arrangement,initpattern,fname,pbc_x,E_density,expected_bp_number,finalpattern,n_typechanges,expected_config
0.0992681410258,-2.25211027829e-16,-9.860761315259999e-31,1393.0,1191.0,11.0,1348.0,921.0,2585.0,2.94348427231e-16,110.459220899,173.503196238,173.503196238,1.52037033911e-17,-5.34763158451e-16,2548.0,2548.0,0.0,-0.00864887053614,0.00189738440797,-0.0126781634649,1200,100,10,20,480,40,12,1.9684569296187773,8.448998358559589,8.0,3.0,5.0,"[[-0.0, 31], [1.0, 59], [2.0, 56], [3.0, 63], [2.0, 65], [3.0, 56], [4.0, 62], [3.0, 53], [2.0, 35]]",oooiooii,eight_bps/mbp_l_1200_w_100_ht_10_oooiooii/mbp_l_1200_w_100_ht_10_oooiooii.fixedfree.csv,False,-62558.61884138888,8,oooiooii,3,True
0.0999097569886,-2.25214630906e-16,4.9303806576299997e-32,1504.0,1210.0,11.0,1451.0,871.0,2715.0,2.9436039303e-16,110.207919285,133.469008219,133.469008219,1.5203730414700002e-17,-5.3477875435e-16,2670.0,2670.0,0.0,0.00759287979937,0.000804267713003,-0.0126229458319,1200,100,10,20,480,40,12,1.968580763582492,8.449307686447037,8.0,3.0,5.0,"[[0.0, 31], [-1.0, 64], [-0.0, 54], [1.0, 64], [0.0, 56], [-1.0, 65], [-0.0, 56], [1.0, 57], [2.0, 33]]",iooiiooo,eight_bps/mbp_l_1200_w_100_ht_10_iooiiooo/mbp_l_1200_w_100_ht_10_iooiiooo.fixedfree.csv,False,-62559.61969611111,8,iooiiooo,3,True
0.0942049708135,-2.25217223403e-16,0.0,1648.0,1103.0,11.0,1499.0,691.0,2752.0,2.94320394476e-16,109.336746521,140.005732179,140.005732179,1.51980798924e-17,-5.34735697771e-16,2610.0,2610.0,0.0,-0.00856022973504,0.00194323761429,-0.000483978320784,1200,100,10,20,480,40,12,-8.80845609624395e-05,8.448972977743948,8.0,4.0,4.0,"[[-0.0, 32], [1.0, 58], [2.0, 57], [3.0, 63], [2.0, 54], [1.0, 66], [2.0, 63], [1.0, 54], [0.0, 33]]",oooiioii,eight_bps/mbp_l_1200_w_100_ht_10_oooiioii/mbp_l_1200_w_100_ht_10_oooiioii.fixedfree.csv,False,-62560.339834166654,8,oooiioii,3,True
0.0979173161504,-2.27690524045e-16,-3.45126646034e-31,1026.0,926.0,11.0,1001.0,734.0,1953.0,2.89885289803e-16,112.470934213,136.181794671,136.181794671,1.4623851141700002e-17,-5.3219966499e-16,1934.0,1934.0,0.0,-0.00728106292209,-0.00057130318509,0.0126405180632,1200,100,10,20,480,40,12,-1.9685483231817635,8.38096193367975,8.0,5.0,3.0,"[[-0.0, 30], [1.0, 60], [0.0, 60], [1.0, 62], [0.0, 58], [-1.0, 57], [-2.0, 62], [-1.0, 61], [-2.0, 30]]",oioiiioi,eight_bps/mbp_l_1200_w_100_ht_10_oioiiioi/mbp_l_1200_w_100_ht_10_oioiiioi.fixedfree.csv,False,-63247.36779027777,8,oioiiioi,5,True
0.0987508387323,-2.26447496833e-16,0.0,1822.0,1285.0,11.0,1743.0,747.0,3108.0,2.92131112135e-16,120.764268432,138.034258666,138.034258666,1.4916191888100002e-17,-5.33494800856e-16,3037.0,3037.0,0.0,-0.00845112576322,0.00189830447832,-0.0114037808076,1200,100,10,20,480,40,12,1.9809843214509888,8.415333078962458,8.0,3.0,5.0,"[[-0.0, 31], [1.0, 59], [2.0, 57], [3.0, 63], [2.0, 55], [1.0, 63], [2.0, 61], [1.0, 61], [2.0, 30]]",oooiioio,eight_bps/mbp_l_1200_w_100_ht_10_oooiioio/mbp_l_1200_w_100_ht_10_oooiioio.fixedfree.csv,False,-62902.082453611096,8,oooiioio,4,True
0.0936074224277,-2.26430477298e-16,2.46519032882e-31,1134.0,1009.0,11.0,1100.0,774.0,2144.0,2.92205583067e-16,112.794225109,132.863827137,132.863827137,1.49330632905e-17,-5.33569123656e-16,2115.0,2115.0,0.0,0.00365601300204,-0.00153996886688,0.0243111095178,1200,100,10,20,480,40,12,-3.949432921834211,8.41510241313983,8.0,6.0,2.0,"[[0.0, 30], [-1.0, 60], [-0.0, 60], [-1.0, 60], [-0.0, 62], [-1.0, 58], [-2.0, 60], [-3.0, 58], [-4.0, 32]]",ioioiiii,eight_bps/mbp_l_1200_w_100_ht_10_ioioiiii/mbp_l_1200_w_100_ht_10_ioioiiii.fixedfree.csv,False,-62897.354805,8,ioioiiii,4,True
0.0992937405706,-2.25180745737e-16,0.0,1014.0,950.0,11.0,990.0,723.0,1965.0,2.94483603101e-16,113.051544038,132.594241874,132.594241874,1.52330277021e-17,-5.3489737654e-16,1944.0,1944.0,0.0,-0.0123729871227,0.00193977059096,6.13636935562e-05,1200,100,10,20,480,40,12,-0.0001002848581612,8.449318596163442,8.0,4.0,4.0,"[[-0.0, 30], [1.0, 60], [0.0, 62], [1.0, 58], [2.0, 58], [3.0, 64], [2.0, 58], [1.0, 58], [0.0, 32]]",oioooiii,eight_bps/mbp_l_1200_w_100_ht_10_oioooiii/mbp_l_1200_w_100_ht_10_oioooiii.fixedfree.csv,False,-62550.20714916666,8,oioooiii,3,True
0.0935793184399,-2.26479916149e-16,5.91645678916e-31,1572.0,1134.0,11.0,1483.0,780.0,2707.0,2.91981359929e-16,110.238500972,132.391926229,132.391926229,1.48865229211e-17,-5.33347798999e-16,2626.0,2626.0,0.0,-0.00443566928756,-0.00402492143546,-0.0109763182954,1200,100,10,20,480,40,12,1.981043385264736,8.414665171687442,8.0,3.0,5.0,"[[-0.0, 31], [1.0, 64], [0.0, 54], [-1.0, 63], [-0.0, 53], [1.0, 64], [0.0, 64], [1.0, 54], [2.0, 33]]",oiiooioo,eight_bps/mbp_l_1200_w_100_ht_10_oiiooioo/mbp_l_1200_w_100_ht_10_oiiooioo.fixedfree.csv,False,-62911.08781916666,8,oiiooioo,4,True
0.0962845284011,-2.25187507392e-16,-1.97215226305e-31,1233.0,1096.0,12.0,1201.0,745.0,2330.0,2.94453385276e-16,107.605719357,136.059991664,136.059991664,1.52267983338e-17,-5.34867691002e-16,2303.0,2303.0,0.0,0.00884241362342,0.00245634567182,0.0133018858179,1200,100,10,20,480,40,12,-1.9683711196652864,8.449258411936857,8.0,5.0,3.0,"[[0.0, 31], [-1.0, 59], [-2.0, 60], [-3.0, 57], [-4.0, 64], [-3.0, 55], [-2.0, 64], [-3.0, 60], [-2.0, 30]]",iiiiooio,eight_bps/mbp_l_1200_w_100_ht_10_iiiiooio/mbp_l_1200_w_100_ht_10_iiiiooio.fixedfree.csv,False,-62552.08538666665,8,iiiiooio,3,True
0.0960180078242,-2.25207491409e-16,-6.40949485492e-31,5196.0,2757.0,11.0,5178.0,165.0,7954.0,2.94350915921e-16,110.168753609,132.764949649,132.764949649,1.52063726707e-17,-5.347647800009999e-16,7944.0,7944.0,0.0,-0.00737457460051,0.00153540295684,0.0252742468256,1200,100,10,20,480,40,12,-3.93703218877464,8.448778201536747,8.0,6.0,2.0,"[[-0.0, 31], [1.0, 63], [0.0, 52], [-1.0, 63], [-0.0, 64], [-1.0, 57], [-2.0, 60], [-3.0, 56], [-4.0, 34]]",oiioiiii,eight_bps/mbp_l_1200_w_100_ht_10_oiioiiii/mbp_l_1200_w_100_ht_10_oiioiiii.fixedfree.csv,False,-62557.63650249999,8,oiioiiii,3,True
0.095339550384,-2.22667701116e-16,1.67632942359e-30,6827.0,2225.0,12.0,5430.0,413.0,9053.0,2.99087690883e-16,112.405618237,135.604033043,135.604033043,1.5841595857400002e-17,-5.37596987857e-16,7661.0,7661.0,0.0,0.0124284891378,0.00156652298949,-0.0261077220245,1200,100,10,20,480,40,12,3.936898229739797,8.51759251051539,8.0,2.0,6.0,"[[0.0, 31], [-1.0, 56], [-2.0, 66], [-1.0, 58], [-0.0, 59], [1.0, 60], [2.0, 60], [3.0, 57], [4.0, 33]]",iioooooo,eight_bps/mbp_l_1200_w_100_ht_10_iioooooo/mbp_l_1200_w_100_ht_10_iioooooo.fixedfree.csv,False,-61852.13919888888,8,iioooooo,1,True
0.0950000327991,-2.30185882457e-16,-9.860761315259999e-32,648.0,615.0,11.0,629.0,613.0,1264.0,2.8532031585e-16,112.678525952,132.543887448,132.543887448,1.40256366142e-17,-5.29531834921e-16,1250.0,1250.0,0.0,-0.00731028931341,-0.000586580984455,-0.000122768542739,1200,100,10,20,480,40,12,-8.867254789993306e-05,8.312600146205652,8.0,4.0,4.0,"[[-0.0, 30], [1.0, 60], [0.0, 60], [1.0, 59], [0.0, 61], [1.0, 59], [0.0, 61], [1.0, 60], [0.0, 30]]",oioioioi,eight_bps/mbp_l_1200_w_100_ht_10_oioioioi/mbp_l_1200_w_100_ht_10_oioioioi.fixedfree.csv,False,-63940.52290472221,8,oioioioi,7,True
